round_num,accuracy,loss
0,0.0798,2.348408113861084
1,0.2912,2.306261255645752
2,0.2903,2.3644870372772218
3,0.3002,2.2844682277679444
4,0.5729,1.442262755203247
5,0.5454,1.642830940437317
6,0.5728,1.4450381702423096
7,0.5519,1.4097988584518433
8,0.5437,1.3945084659576417
9,0.4788,1.8958631231307983
10,0.4681,1.9003511817932128
