timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753360349.070157,1,67534400,0,20,12,9.801116466522217,0.04953517302424961,40.0,0.8167597055435181
1753360358.7868667,2,67534400,0,20,12,9.711318254470825,0.06986693075243798,40.0,0.8092765212059021
1753360362.5122764,3,67534400,0,20,12,3.7205421924591064,0.1579339702667432,40.0,0.31004518270492554
1753360371.4918623,4,67534400,0,20,12,8.974662065505981,0.059122003271783956,40.0,0.7478885054588318
1753360375.8739283,5,67534400,0,20,12,4.376684665679932,0.15639691965188923,40.0,0.3647237221399943
1753360383.952179,6,67534400,0,20,12,8.07340121269226,0.08540390621440086,40.0,0.6727834343910217
1753360387.371693,7,67534400,0,20,12,3.414623737335205,0.1834462734944983,40.0,0.2845519781112671
1753360391.4422605,8,67534400,0,20,12,4.0655517578125,0.15331252364509831,40.0,0.3387959798177083
1753360395.652295,9,67534400,0,20,12,4.205045700073242,0.1573823561509624,40.0,0.3504204750061035
1753360400.0273001,10,67534400,0,20,12,4.36998724937439,0.15549244453682964,40.0,0.36416560411453247
