timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753394888.1937149,1,992854880,0,20,4,22.702727556228638,0.004426780868117637,80.0,5.675681889057159
1753394911.5118446,2,992854880,0,20,4,23.223815202713013,0.004508303183008833,80.0,5.805953800678253
1753394931.6797347,3,992854880,0,20,4,20.047959089279175,0.006195144326008579,80.0,5.011989772319794
1753394953.4045935,4,992854880,0,20,4,21.610201120376587,0.0067283038778801615,80.0,5.402550280094147
1753394974.9355218,5,992854880,0,20,4,21.434488534927368,0.006662160366798969,80.0,5.358622133731842
1753394996.7314742,6,992854880,0,20,4,21.695721864700317,0.0069783342976171255,80.0,5.423930466175079
1753395016.7420251,7,992854880,0,20,4,19.908682107925415,0.005068140595797292,80.0,4.977170526981354
1753395039.4795842,8,992854880,0,20,4,22.623790740966797,0.004959381090668861,80.0,5.655947685241699
1753395063.098573,9,992854880,0,20,4,23.512797832489014,0.00537154280404197,80.0,5.878199458122253
1753395073.7304556,10,992854880,0,20,4,10.512731313705444,0.014962809883186878,80.0,2.628182828426361
