timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753374084.5151284,1,-1,training,27.18465757369995,0,0,0,
1753374118.360762,2,-1,training,32.165823221206665,0,0,0,
1753374145.3437264,3,-1,training,25.503806591033936,0,0,0,
1753374172.2447393,4,-1,training,25.425450801849365,0,0,0,
1753374179.5412915,5,-1,training,5.767134666442871,0,0,0,
1753374187.1640284,6,-1,training,5.966653347015381,0,0,0,
1753374212.727902,7,-1,training,24.00031042098999,0,0,0,
1753374218.9478605,8,-1,training,4.664891481399536,0,0,0,
1753374226.2650077,9,-1,training,5.788167476654053,0,0,0,
1753374250.2169728,10,-1,training,22.369004726409912,0,0,0,
