experiment_id,dataset,attack_strategy,fl_type,topology,node_count,dp_enabled,dp_epsilon,dp_privacy_level,attack_success,confidence_score,best_attack_type,comm_pattern_score,param_magnitude_score,topology_structure_score,topology_vulnerability,communication_complexity,dp_protection_effective,signal_strength_with_dp,size_category,attack_scalability_score,runtime_seconds
29,mnist,sensitive_groups,decentralized,complete,10,False,,no_dp,True,0.9,Communication Pattern Attack,0.9,0.012218132949116353,0.3222361820210745,0.9,45,True,0.0,medium,0.9900000000000001,30.027844667434692
30,mnist,sensitive_groups,decentralized,line,10,False,,no_dp,True,0.8144126247655721,Topology Structure Attack,0.7,0.008849928658453318,0.8144126247655721,0.8144126247655721,9,True,0.0,medium,0.8958538872421293,28.067631483078003
31,mnist,sensitive_groups,federated,star,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.0010638110218807101,0.24699422630125129,0.9,9,False,0.9,medium,0.9900000000000001,38.14368796348572
32,mnist,sensitive_groups,federated,complete,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.0009582588327112371,0.27672334818551436,0.9,45,False,0.9,medium,0.9900000000000001,37.250754594802856
33,mnist,sensitive_groups,decentralized,ring,10,True,16.0,weak_dp,True,0.7,Communication Pattern Attack,0.7,0.0006580271941932722,0.3366023941754683,0.7,10,False,0.7,medium,0.77,38.19074630737305
34,mnist,sensitive_groups,decentralized,complete,10,True,16.0,weak_dp,True,0.9,Communication Pattern Attack,0.9,0.0009093300306767078,0.3295776996718687,0.9,45,False,0.9,medium,0.9900000000000001,39.80351734161377
35,mnist,sensitive_groups,decentralized,line,10,True,16.0,weak_dp,True,0.7,Communication Pattern Attack,0.7,0.001245030675629433,0.5604190739155317,0.7,9,False,0.7,medium,0.77,38.11483120918274
36,mnist,sensitive_groups,federated,star,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0013167130729925664,0.34344602494038295,0.9,9,False,0.9,medium,0.9900000000000001,35.1069815158844
37,mnist,sensitive_groups,federated,complete,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0008685656042311435,0.44363508945948216,0.9,45,False,0.9,medium,0.9900000000000001,35.3779182434082
38,mnist,sensitive_groups,decentralized,ring,10,True,8.0,medium_dp,True,0.7,Communication Pattern Attack,0.7,0.0015002188943610403,0.4315407674149204,0.7,10,False,0.7,medium,0.77,37.369513750076294
39,mnist,sensitive_groups,decentralized,complete,10,True,8.0,medium_dp,True,0.9,Communication Pattern Attack,0.9,0.0007470308387091651,0.1808394312938248,0.9,45,False,0.9,medium,0.9900000000000001,39.00300979614258
40,mnist,sensitive_groups,decentralized,line,10,True,8.0,medium_dp,True,0.7,Communication Pattern Attack,0.7,0.0013281069793923165,0.5608008520173552,0.7,9,False,0.7,medium,0.77,36.3421413898468
