Dataset,FL Type,Topology,Nodes,DP,Epsilon,Attack Strategy,Attack Success,Confidence,Best Attack Type
MNIST,Decentralized,Ring,20,Yes,16.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,16.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,8.0,Sensitive Groups,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,8.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,8.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,4.0,Sensitive Groups,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,4.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,4.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,20,Yes,1.0,Sensitive Groups,Yes,0.950,Communication Pattern Attack
MNIST,Decentralized,Ring,20,Yes,1.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Decentralized,Line,20,Yes,1.0,Sensitive Groups,Yes,0.850,Communication Pattern Attack
MNIST,Federated,Star,25,No,,Sensitive Groups,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,No,,Sensitive Groups,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,No,,Sensitive Groups,Yes,0.754,Topology Structure Attack
MNIST,Federated,Star,25,Yes,16.0,Sensitive Groups,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,16.0,Sensitive Groups,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,16.0,Sensitive Groups,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,8.0,Sensitive Groups,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,8.0,Sensitive Groups,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,8.0,Sensitive Groups,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,4.0,Sensitive Groups,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,4.0,Sensitive Groups,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,4.0,Sensitive Groups,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,25,Yes,1.0,Sensitive Groups,Yes,0.960,Communication Pattern Attack
MNIST,Decentralized,Ring,25,Yes,1.0,Sensitive Groups,Yes,0.880,Communication Pattern Attack
MNIST,Decentralized,Line,25,Yes,1.0,Sensitive Groups,Yes,0.640,Communication Pattern Attack
MNIST,Federated,Star,10,No,,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,No,,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,No,,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,No,,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,No,,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,16.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,16.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,16.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,16.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,16.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,8.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,8.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,8.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,8.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,8.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,4.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,4.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,4.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,4.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,4.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,1.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,1.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,1.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,1.0,Topology Correlated,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,1.0,Topology Correlated,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,5,No,,Imbalanced Sensitive,Yes,0.837,Topology Structure Attack
MNIST,Federated,Complete,5,No,,Imbalanced Sensitive,Yes,0.887,Topology Structure Attack
MNIST,Decentralized,Ring,5,No,,Imbalanced Sensitive,Yes,0.604,Topology Structure Attack
MNIST,Decentralized,Complete,5,No,,Imbalanced Sensitive,Yes,0.833,Topology Structure Attack
MNIST,Decentralized,Line,5,No,,Imbalanced Sensitive,Yes,0.899,Topology Structure Attack
MNIST,Federated,Star,5,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Complete,5,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Ring,5,Yes,16.0,Imbalanced Sensitive,Yes,0.600,Communication Pattern Attack
MNIST,Decentralized,Complete,5,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Line,5,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,5,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Complete,5,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Ring,5,Yes,8.0,Imbalanced Sensitive,Yes,0.600,Communication Pattern Attack
MNIST,Decentralized,Complete,5,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Line,5,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,5,Yes,4.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Complete,5,Yes,4.0,Imbalanced Sensitive,Yes,0.907,Topology Structure Attack
MNIST,Decentralized,Ring,5,Yes,4.0,Imbalanced Sensitive,Yes,0.829,Topology Structure Attack
MNIST,Decentralized,Complete,5,Yes,4.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Line,5,Yes,4.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,5,Yes,1.0,Imbalanced Sensitive,Yes,0.930,Topology Structure Attack
MNIST,Federated,Complete,5,Yes,1.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Ring,5,Yes,1.0,Imbalanced Sensitive,Yes,0.731,Topology Structure Attack
MNIST,Decentralized,Complete,5,Yes,1.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Line,5,Yes,1.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,10,No,,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,No,,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,No,,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,No,,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,No,,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,16.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,16.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,16.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,16.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,16.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,8.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,8.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,8.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
