timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753381615.7736278,1,26127760,0,5,5,16.32923460006714,0.012848122103600458,0.0,3.265846920013428
1753381623.9998226,2,26127760,0,5,5,8.22343897819519,0.0348029578329543,0.0,1.644687795639038
1753381631.6429932,3,26127760,0,5,5,7.640552043914795,0.038204045770813044,0.0,1.528110408782959
1753381639.2341878,4,26127760,0,5,5,7.58880877494812,0.04359050409756325,0.0,1.517761754989624
1753381646.8872974,5,26127760,0,5,5,7.650738954544067,0.048348270957578834,0.0,1.5301477909088135
1753381654.5268698,6,26127760,0,5,5,7.637214422225952,0.04966470482957172,0.0,1.5274428844451904
1753381662.0841067,7,26127760,0,5,5,7.554979562759399,0.05150245566751529,0.0,1.51099591255188
1753381669.847833,8,26127760,0,5,5,7.7614288330078125,0.05098288066717389,0.0,1.5522857666015626
1753381677.5025656,9,26127760,0,5,5,7.6519410610198975,0.05676990929960202,0.0,1.5303882122039796
1753381685.1744561,10,26127760,0,5,5,7.669611930847168,0.058464496514684904,0.0,1.5339223861694335
