round_num,node_0,node_1,node_2,node_3,node_4
1,3.232461452484131,3.724356174468994,3.3318870067596436,3.4758493900299072,3.7623276710510254
2,3.856624126434326,4.168668270111084,3.906304359436035,4.2704572677612305,4.19030237197876
3,4.359782695770264,4.6088480949401855,4.492853164672852,4.78563117980957,4.653055191040039
4,4.834808826446533,5.031965732574463,4.913105487823486,5.204570293426514,5.015948295593262
5,5.24423885345459,5.427784442901611,5.292046546936035,5.5736403465271,5.369809627532959
6,5.630754470825195,5.789126396179199,5.618765830993652,5.878102779388428,5.708580017089844
7,5.936441898345947,6.1059393882751465,5.968526363372803,6.109724521636963,6.024061679840088
8,6.243999481201172,6.424964427947998,6.264867782592773,6.420082092285156,6.310849189758301
9,6.537955284118652,6.682101726531982,6.533456325531006,6.680769443511963,6.605766773223877
10,6.833217620849609,6.955319404602051,6.814883708953857,6.9316253662109375,6.880157947540283
