timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753355007.4046528,1,-1,training,10.326390266418457,0,0,0,
1753355019.3057332,2,-1,training,11.11910080909729,0,0,0,
1753355025.2454288,3,-1,training,5.148681163787842,0,0,0,
1753355030.8809252,4,-1,training,4.862087726593018,0,0,0,
1753355043.334577,5,-1,training,11.665739297866821,0,0,0,
1753355050.3443708,6,-1,training,6.249610662460327,0,0,0,
1753355056.3142729,7,-1,training,5.207359790802002,0,0,0,
1753355063.2824988,8,-1,training,6.211713552474976,0,0,0,
1753355067.7537756,9,-1,training,3.715585470199585,0,0,0,
1753355074.9114044,10,-1,training,6.39048171043396,0,0,0,
