timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753350591.1249673,1,-1,training,17.26323628425598,0,0,0,
1753350609.2622733,2,-1,training,17.10924196243286,0,0,0,
1753350623.2699816,3,-1,training,13.09464716911316,0,0,0,
1753350627.474446,4,-1,training,3.3202719688415527,0,0,0,
1753350631.3454397,5,-1,training,2.963695526123047,0,0,0,
1753350636.4041557,6,-1,training,4.146484375,0,0,0,
1753350641.324719,7,-1,training,4.005373477935791,0,0,0,
1753350656.2800896,8,-1,training,14.021397352218628,0,0,0,
1753350660.9966965,9,-1,training,3.7709662914276123,0,0,0,
1753350665.3109174,10,-1,training,3.356907844543457,0,0,0,
