timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753364251.87743,1,-1,training,14.159001588821411,0,0,0,
1753364267.1967928,2,-1,training,13.438939332962036,0,0,0,
1753364280.3119688,3,-1,training,11.304252624511719,0,0,0,
1753364291.0258741,4,-1,training,8.851506233215332,0,0,0,
1753364295.8104932,5,-1,training,2.8291571140289307,0,0,0,
1753364314.3746197,6,-1,training,16.67555284500122,0,0,0,
1753364320.4679217,7,-1,training,4.192935466766357,0,0,0,
1753364336.8334157,8,-1,training,14.49469518661499,0,0,0,
1753364341.4664083,9,-1,training,2.6888413429260254,0,0,0,
1753364346.2375555,10,-1,training,2.8284194469451904,0,0,0,
