node_id,connects_to_0,connects_to_1,connects_to_2,connects_to_3,connects_to_4,connects_to_5,connects_to_6
0,0,1,0,0,0,0,1
1,1,0,1,0,0,0,0
2,0,1,0,1,0,0,0
3,0,0,1,0,1,0,0
4,0,0,0,1,0,1,0
5,0,0,0,0,1,0,1
6,1,0,0,0,0,1,0
