timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753351881.0053709,1,-1,training,9.425997972488403,0,0,0,
1753351885.71653,2,-1,training,3.841196060180664,0,0,0,
1753351890.1895895,3,-1,training,3.6956071853637695,0,0,0,
1753351894.7347815,4,-1,training,3.788419723510742,0,0,0,
1753351899.5846412,5,-1,training,4.087941884994507,0,0,0,
1753351904.1594276,6,-1,training,3.7857718467712402,0,0,0,
1753351908.835664,7,-1,training,3.9127275943756104,0,0,0,
1753351913.3895316,8,-1,training,3.7629528045654297,0,0,0,
1753351918.0829413,9,-1,training,3.9025228023529053,0,0,0,
1753351922.7674766,10,-1,training,3.9202206134796143,0,0,0,
