edge,weight
0-1,1035.63
0-2,984.01
0-3,111.38
0-4,5453.07
0-5,2361.2
0-6,4490.57
0-7,93.01
0-8,1618.7
0-9,459.83
0-10,854.17
0-11,103.92
0-12,1031.25
0-13,1078.06
0-14,492.13
