timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753390661.4605532,1,52255520,0,5,4,30.613869667053223,0.005363581990313128,19.999999999999996,7.653467416763306
1753390687.3803751,2,52255520,0,5,4,25.66438603401184,0.008505950608391604,19.999999999999996,6.41609650850296
1753390696.1421945,3,52255520,0,5,4,8.485119581222534,0.027660187667759947,19.999999999999996,2.1212798953056335
1753390705.0779457,4,52255520,0,5,4,8.644277572631836,0.02814578754045318,19.999999999999996,2.161069393157959
1753390713.975143,5,52255520,0,5,4,8.582240104675293,0.028430805596673724,19.999999999999996,2.1455600261688232
1753390722.9717379,6,52255520,0,5,4,8.658158302307129,0.027927417304851983,19.999999999999996,2.1645395755767822
1753390731.8742425,7,52255520,0,5,4,8.560608386993408,0.02941379731638855,19.999999999999996,2.140152096748352
1753390740.978017,8,52255520,0,5,4,8.759287595748901,0.02993394121769128,19.999999999999996,2.1898218989372253
1753390749.8733418,9,52255520,0,5,4,8.499298572540283,0.03219089171475312,19.999999999999996,2.124824643135071
1753390758.8966298,10,52255520,0,5,4,8.653868198394775,0.03145414209688229,19.999999999999996,2.163467049598694
