timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753354546.1748724,1,-1,training,18.876393795013428,0,0,0,
1753354567.5038464,2,-1,training,20.38044047355652,0,0,0,
1753354573.5732994,3,-1,training,5.1245317459106445,0,0,0,
1753354589.9633722,4,-1,training,15.486466884613037,0,0,0,
1753354594.442204,5,-1,training,3.545520544052124,0,0,0,
1753354598.9791858,6,-1,training,3.642603635787964,0,0,0,
1753354605.2541742,7,-1,training,5.360481262207031,0,0,0,
1753354628.5849454,8,-1,training,22.350610971450806,0,0,0,
1753354634.8444734,9,-1,training,5.365487575531006,0,0,0,
1753354642.155366,10,-1,training,6.402788877487183,0,0,0,
