round_num,accuracy,loss
0,0.0961,2.3561031219482422
1,0.1401,2.566510845565796
2,0.1923,2.115080851364136
3,0.2299,2.1196138160705567
4,0.2542,1.9618055814743043
5,0.262,1.9506354728698732
6,0.2879,1.9214946342468262
7,0.1713,2.4646103214263917
8,0.2978,1.882255591583252
9,0.3324,1.761958099937439
10,0.3414,1.7550147121429442
