timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753351666.6579244,1,-1,training,19.733237266540527,0,0,0,
1753351684.1448166,2,-1,training,16.37669277191162,0,0,0,
1753351697.2774992,3,-1,training,12.07524299621582,0,0,0,
1753351702.855819,4,-1,training,4.460074186325073,0,0,0,
1753351708.2611237,5,-1,training,4.298341751098633,0,0,0,
1753351713.8728397,6,-1,training,4.511632204055786,0,0,0,
1753351719.5537374,7,-1,training,4.546112060546875,0,0,0,
1753351725.0085702,8,-1,training,4.311002492904663,0,0,0,
1753351730.4808452,9,-1,training,4.325894117355347,0,0,0,
1753351736.291813,10,-1,training,4.6491639614105225,0,0,0,
