timestamp,round_num,node_id,parameter_norm,parameter_summary
1749415945.736979,1,0,3.343848466873169,"{'norm': 3.343848466873169, 'mean': -0.0017985975136980414, 'std': 0.11374581605195999}"
1749415945.7370315,1,1,3.343120813369751,"{'norm': 3.343120813369751, 'mean': -0.0017954922514036298, 'std': 0.11372110247612}"
1749415945.7370486,1,2,3.3433806896209717,"{'norm': 3.3433806896209717, 'mean': -0.0018124209018424153, 'std': 0.11372967809438705}"
1749415945.737064,1,3,3.3428282737731934,"{'norm': 3.3428282737731934, 'mean': -0.0018145798239856958, 'std': 0.11371084302663803}"
1749415945.7370782,1,4,3.3430750370025635,"{'norm': 3.3430750370025635, 'mean': -0.0018090818775817752, 'std': 0.11371932923793793}"
1749415945.7370925,1,5,3.3426811695098877,"{'norm': 3.3426811695098877, 'mean': -0.00181244604755193, 'std': 0.11370588093996048}"
1749415945.737107,1,6,3.343080759048462,"{'norm': 3.343080759048462, 'mean': -0.0017996368696913123, 'std': 0.11371967196464539}"
1749415945.737121,1,7,3.3428146839141846,"{'norm': 3.3428146839141846, 'mean': -0.0018044343451038003, 'std': 0.11371054500341415}"
1749415945.7371352,1,8,3.3431265354156494,"{'norm': 3.3431265354156494, 'mean': -0.0018066331977024674, 'std': 0.11372113227844238}"
1749415945.7371488,1,9,3.342703342437744,"{'norm': 3.342703342437744, 'mean': -0.0018071962986141443, 'std': 0.11370671540498734}"
1749415945.7372193,1,10,3.3427600860595703,"{'norm': 3.3427600860595703, 'mean': -0.0018063349416479468, 'std': 0.11370866745710373}"
1749415945.7372339,1,11,3.3429815769195557,"{'norm': 3.3429815769195557, 'mean': -0.0017963557038456202, 'std': 0.11371634900569916}"
1749415945.7372546,1,12,3.342855215072632,"{'norm': 3.342855215072632, 'mean': -0.0018258803756907582, 'std': 0.11371158063411713}"
1749415945.7372684,1,13,3.3428878784179688,"{'norm': 3.3428878784179688, 'mean': -0.0018113442929461598, 'std': 0.11371293663978577}"
1749415945.7372813,1,14,3.342780113220215,"{'norm': 3.342780113220215, 'mean': -0.0018130470998585224, 'std': 0.1137092337012291}"
1749415945.7372947,1,15,3.3430228233337402,"{'norm': 3.3430228233337402, 'mean': -0.0018102893372997642, 'std': 0.11371754109859467}"
1749415945.737307,1,16,3.3431649208068848,"{'norm': 3.3431649208068848, 'mean': -0.001810346613638103, 'std': 0.11372236907482147}"
1749415945.7373202,1,17,3.3429934978485107,"{'norm': 3.3429934978485107, 'mean': -0.0018086025957018137, 'std': 0.11371656507253647}"
1749415945.7373333,1,18,3.3431267738342285,"{'norm': 3.3431267738342285, 'mean': -0.0018098409054800868, 'std': 0.1137210801243782}"
1749415945.737347,1,19,3.3430137634277344,"{'norm': 3.3430137634277344, 'mean': -0.001808835077099502, 'std': 0.11371725797653198}"
1749415945.7373605,1,20,3.3428618907928467,"{'norm': 3.3428618907928467, 'mean': -0.0018133202102035284, 'std': 0.11371201276779175}"
1749415945.737374,1,21,3.3430798053741455,"{'norm': 3.3430798053741455, 'mean': -0.001809274428524077, 'std': 0.11371948570013046}"
1749415945.7373886,1,22,3.3431384563446045,"{'norm': 3.3431384563446045, 'mean': -0.0018136122962459922, 'std': 0.11372142285108566}"
1749415945.737403,1,23,3.34295916557312,"{'norm': 3.34295916557312, 'mean': -0.0018087468342855573, 'std': 0.11371539533138275}"
1749415945.737416,1,24,3.3429408073425293,"{'norm': 3.3429408073425293, 'mean': -0.001813955488614738, 'std': 0.11371469497680664}"
1749415945.7374303,1,25,3.3430137634277344,"{'norm': 3.3430137634277344, 'mean': -0.0018080008449032903, 'std': 0.11371726542711258}"
1749415945.7374442,1,26,3.3430402278900146,"{'norm': 3.3430402278900146, 'mean': -0.0018123366171494126, 'std': 0.11371809989213943}"
1749415945.7374582,1,27,3.3431155681610107,"{'norm': 3.3431155681610107, 'mean': -0.0018126716604456306, 'std': 0.11372065544128418}"
1749415945.7374713,1,28,3.342898368835449,"{'norm': 3.342898368835449, 'mean': -0.0018111002864316106, 'std': 0.11371329426765442}"
1749415945.7375028,1,29,3.343122959136963,"{'norm': 3.343122959136963, 'mean': -0.0018116296268999577, 'std': 0.11372092366218567}"
1749415962.3508084,2,0,3.344085216522217,"{'norm': 3.344085216522217, 'mean': -0.0018139748135581613, 'std': 0.11375362426042557}"
1749415962.350858,2,1,3.3431873321533203,"{'norm': 3.3431873321533203, 'mean': -0.0017916139913722873, 'std': 0.11372343450784683}"
1749415962.350876,2,2,3.343510150909424,"{'norm': 3.343510150909424, 'mean': -0.0017948212334886193, 'std': 0.11373436450958252}"
1749415962.3509789,2,3,3.3425164222717285,"{'norm': 3.3425164222717285, 'mean': -0.001803235150873661, 'std': 0.11370042711496353}"
1749415962.3509965,2,4,3.342958927154541,"{'norm': 3.342958927154541, 'mean': -0.0018142397748306394, 'std': 0.11371529847383499}"
1749415962.3510187,2,5,3.3426482677459717,"{'norm': 3.3426482677459717, 'mean': -0.0018165053334087133, 'std': 0.11370469629764557}"
1749415962.3510404,2,6,3.343292236328125,"{'norm': 3.343292236328125, 'mean': -0.0017878643702715635, 'std': 0.11372705549001694}"
1749415962.3510556,2,7,3.343183994293213,"{'norm': 3.343183994293213, 'mean': -0.0018048584461212158, 'std': 0.11372310668230057}"
1749415962.3510742,2,8,3.342935562133789,"{'norm': 3.342935562133789, 'mean': -0.0018022545846179128, 'std': 0.11371469497680664}"
1749415962.3510942,2,9,3.3428914546966553,"{'norm': 3.3428914546966553, 'mean': -0.0018174679717049003, 'std': 0.11371295899152756}"
1749415962.3511126,2,10,3.3426334857940674,"{'norm': 3.3426334857940674, 'mean': -0.001804136554710567, 'std': 0.1137043833732605}"
1749415962.351128,2,11,3.3431997299194336,"{'norm': 3.3431997299194336, 'mean': -0.0017911284230649471, 'std': 0.11372386664152145}"
1749415962.3511431,2,12,3.342907667160034,"{'norm': 3.342907667160034, 'mean': -0.0018012342043220997, 'std': 0.11371376365423203}"
1749415962.3511589,2,13,3.3422865867614746,"{'norm': 3.3422865867614746, 'mean': -0.0018104159971699119, 'std': 0.11369248479604721}"
1749415962.3511732,2,14,3.3433146476745605,"{'norm': 3.3433146476745605, 'mean': -0.0018155011348426342, 'std': 0.1137273833155632}"
1749415962.3511868,2,15,3.343118190765381,"{'norm': 3.343118190765381, 'mean': -0.00181463488843292, 'std': 0.11372071504592896}"
1749415962.3512003,2,16,3.3431406021118164,"{'norm': 3.3431406021118164, 'mean': -0.001809903304092586, 'std': 0.11372154951095581}"
1749415962.3512142,2,17,3.343090534210205,"{'norm': 3.343090534210205, 'mean': -0.0018058217829093337, 'std': 0.11371991038322449}"
1749415962.3512468,2,18,3.3431546688079834,"{'norm': 3.3431546688079834, 'mean': -0.0018120402237400413, 'std': 0.11372199654579163}"
1749415962.3512619,2,19,3.342961549758911,"{'norm': 3.342961549758911, 'mean': -0.0018022987060248852, 'std': 0.11371558159589767}"
1749415962.3512776,2,20,3.342941999435425,"{'norm': 3.342941999435425, 'mean': -0.0018164142966270447, 'std': 0.11371468752622604}"
