accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,7120.0,,,,,,,,NetworkStructureEvent,,,0.5,,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753354661.465824,ring,,,,,362,,5,,54,1440,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,5,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753354661.4663465,ring,,,,,,,,,,,
0.0964,,,,,,,,,,,,,EvaluationEvent,2.4116224517822267,"{'loss': 2.4116224517822267, 'accuracy': 0.0964}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753354664.5292964,,,,,,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753354664.529499,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{3: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,1,[3],,,,,resource_sampling,,,,,,1753354664.5296712,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,20.93585729598999,1753354685.4654315,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.203136682510376, 'mean': 0.007354530040174723, 'std': 0.18860329687595367}}",,,,1,,,,,0,parameter_transfer,,"4,1",,,,1753354685.5302207,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.203136682510376, 'mean': 0.007354530040174723, 'std': 0.18860329687595367}}",,,,1,,,,,1,parameter_transfer,,"0,2",,,,1753354685.5302951,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.203136682510376, 'mean': 0.007354530040174723, 'std': 0.18860329687595367}}",,,,1,,,,,2,parameter_transfer,,"1,3",,,,1753354685.530342,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.204470634460449, 'mean': 0.009147224947810173, 'std': 0.18860355019569397}}",,,,1,,,,,3,parameter_transfer,,"2,4",,,,1753354685.5303724,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.203136682510376, 'mean': 0.007354530040174723, 'std': 0.18860329687595367}}",,,,1,,,,,4,parameter_transfer,,"3,0",,,,1753354685.530403,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,4,1",,,1,,,,,,aggregation,GossipAvg,,,,,1753354685.5304384,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,1,,,,,,aggregation,GossipAvg,,,,,1753354685.5304601,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,1,,,,,,aggregation,GossipAvg,,,,,1753354685.530475,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,1,,,,,,aggregation,GossipAvg,,,,,1753354685.5304885,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,0",,,1,,,,,,aggregation,GossipAvg,,,,,1753354685.530501,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,4.42507518527475,,,,,1,,,,,,model_update,,,,,,1753354685.7290301,,,,,,,,,,,,"0,1,2,3,4"
0.0964,,,,,,,,,,,,,EvaluationEvent,2.411622434997559,"{'loss': 2.411622434997559, 'accuracy': 0.0964}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753354686.2799184,,,,,,,,,,,,
,,,,,,,,80.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.004432077753243602,21.750520944595337,1,,1,,,,resource_resource_summary,,,,21.750520944595337,,1753354686.2799823,,,5,16883600,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753354686.528446,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{4: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,2,[4],,,,,resource_sampling,,,,,,1753354686.5286021,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,2,,,,0,,resource_computation_time,,,,,17.86678194999695,1753354704.3952835,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.203136682510376, 'mean': 0.007354530040174723, 'std': 0.18860329687595367}}",,,,2,,,,,0,parameter_transfer,,"4,1",,,,1753354704.4571552,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.203136682510376, 'mean': 0.007354530971497297, 'std': 0.18860329687595367}}",,,,2,,,,,1,parameter_transfer,,"0,2",,,,1753354704.457219,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.199108600616455, 'mean': 0.008061815984547138, 'std': 0.1883368194103241}}",,,,2,,,,,2,parameter_transfer,,"1,3",,,,1753354704.4572594,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.1991238594055176, 'mean': 0.008324152790009975, 'std': 0.18832629919052124}}",,,,2,,,,,3,parameter_transfer,,"2,4",,,,1753354704.4572897,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.2353627681732178, 'mean': 0.011040670797228813, 'std': 0.19032563269138336}}",,,,2,,,,,4,parameter_transfer,,"3,0",,,,1753354704.457316,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,4,1",,,2,,,,,,aggregation,GossipAvg,,,,,1753354704.4573455,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,2,,,,,,aggregation,GossipAvg,,,,,1753354704.4573636,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,2,,,,,,aggregation,GossipAvg,,,,,1753354704.4573786,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,2,,,,,,aggregation,GossipAvg,,,,,1753354704.457392,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,0",,,2,,,,,,aggregation,GossipAvg,,,,,1753354704.4574032,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,5.200190982923185,,,,,2,,,,,,model_update,,,,,,1753354704.6457677,,,,,,,,,,,,"0,1,2,3,4"
0.4156,,,,,,,,,,,,,EvaluationEvent,1.8470746583938598,"{'loss': 1.8470746583938598, 'accuracy': 0.4156}",,,,,,,,,,,,,,,,,2,,,,,,evaluation,,,,,,1753354705.2292993,,,,,,,,,,,,
,,,,,,,,80.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.022223455024497078,18.70096254348755,2,,1,,,,resource_resource_summary,,,,18.70096254348755,,1753354705.2293549,,,5,16883600,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,3,,,,,,local_training,,,,,,1753354705.4803107,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{1: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,3,[1],,,,,resource_sampling,,,,,,1753354705.4804606,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,3,,,,0,,resource_computation_time,,,,,21.636407136917114,1753354727.1167772,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.2076241970062256, 'mean': 0.008236786350607872, 'std': 0.18883150815963745}}",,,,3,,,,,0,parameter_transfer,,"4,1",,,,1753354727.1776185,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.2011876106262207, 'mean': 0.010098326951265335, 'std': 0.1883613020181656}}",,,,3,,,,,1,parameter_transfer,,"0,2",,,,1753354727.1776826,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.2000865936279297, 'mean': 0.0081045962870121, 'std': 0.18839266896247864}}",,,,3,,,,,2,parameter_transfer,,"1,3",,,,1753354727.177715,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.206784963607788, 'mean': 0.009090338833630085, 'std': 0.18874283134937286}}",,,,3,,,,,3,parameter_transfer,,"2,4",,,,1753354727.1777437,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.211867332458496, 'mean': 0.009186538867652416, 'std': 0.1890380084514618}}",,,,3,,,,,4,parameter_transfer,,"3,0",,,,1753354727.17777,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,4,1",,,3,,,,,,aggregation,GossipAvg,,,,,1753354727.1777995,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,3,,,,,,aggregation,GossipAvg,,,,,1753354727.1778164,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,3,,,,,,aggregation,GossipAvg,,,,,1753354727.17783,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,3,,,,,,aggregation,GossipAvg,,,,,1753354727.1778414,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,0",,,3,,,,,,aggregation,GossipAvg,,,,,1753354727.17795,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,5.284874597160465,,,,,3,,,,,,model_update,,,,,,1753354727.368404,,,,,,,,,,,,"0,1,2,3,4"
0.5854,,,,,,,,,,,,,EvaluationEvent,1.189964050102234,"{'loss': 1.189964050102234, 'accuracy': 0.5854}",,,,,,,,,,,,,,,,,3,,,,,,evaluation,,,,,,1753354727.8915987,,,,,,,,,,,,
,,,,,,,,80.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.02612063966496755,22.411396026611328,3,,1,,,,resource_resource_summary,,,,22.411396026611328,,1753354727.8916535,,,5,16883600,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,4,,,,,,local_training,,,,,,1753354728.1397355,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{3: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,4,[3],,,,,resource_sampling,,,,,,1753354728.1399045,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,4,,,,0,,resource_computation_time,,,,,5.763771295547485,1753354733.9035668,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.2015380859375, 'mean': 0.009075702168047428, 'std': 0.18843400478363037}}",,,,4,,,,,0,parameter_transfer,,"4,1",,,,1753354733.9594808,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.197601079940796, 'mean': 0.009218761697411537, 'std': 0.18819481134414673}}",,,,4,,,,,1,parameter_transfer,,"0,2",,,,1753354733.9595418,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.200106620788574, 'mean': 0.00890977494418621, 'std': 0.18835747241973877}}",,,,4,,,,,2,parameter_transfer,,"1,3",,,,1753354733.9595726,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.202540159225464, 'mean': 0.010104235261678696, 'std': 0.18844078481197357}}",,,,4,,,,,3,parameter_transfer,,"2,4",,,,1753354733.959601,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.204763412475586, 'mean': 0.009100791998207569, 'std': 0.1886230707168579}}",,,,4,,,,,4,parameter_transfer,,"3,0",,,,1753354733.9596276,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,4,1",,,4,,,,,,aggregation,GossipAvg,,,,,1753354733.959657,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,4,,,,,,aggregation,GossipAvg,,,,,1753354733.9596746,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,4,,,,,,aggregation,GossipAvg,,,,,1753354733.9596884,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,4,,,,,,aggregation,GossipAvg,,,,,1753354733.95971,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,0",,,4,,,,,,aggregation,GossipAvg,,,,,1753354733.959722,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,3.5691190290945185,,,,,4,,,,,,model_update,,,,,,1753354734.146003,,,,,,,,,,,,"0,1,2,3,4"
0.5982,,,,,,,,,,,,,EvaluationEvent,1.1403966669082641,"{'loss': 1.1403966669082641, 'accuracy': 0.5982}",,,,,,,,,,,,,,,,,4,,,,,,evaluation,,,,,,1753354734.6739783,,,,,,,,,,,,
,,,,,,,,80.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.09154714347622346,6.5343382358551025,4,,1,,,,resource_resource_summary,,,,6.5343382358551025,,1753354734.6740313,,,5,16883600,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,5,,,,,,local_training,,,,,,1753354734.9559603,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{3: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,5,[3],,,,,resource_sampling,,,,,,1753354734.9561443,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,5,,,,0,,resource_computation_time,,,,,5.6784045696258545,1753354740.6344268,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.2005839347839355, 'mean': 0.009128708392381668, 'std': 0.18837517499923706}}",,,,5,,,,,0,parameter_transfer,,"4,1",,,,1753354740.692232,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.1991007328033447, 'mean': 0.00911310687661171, 'std': 0.18828840553760529}}",,,,5,,,,,1,parameter_transfer,,"0,2",,,,1753354740.6922927,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.198518753051758, 'mean': 0.009457002393901348, 'std': 0.18823711574077606}}",,,,5,,,,,2,parameter_transfer,,"1,3",,,,1753354740.692323,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.189204454421997, 'mean': 0.009919798001646996, 'std': 0.18766368925571442}}",,,,5,,,,,3,parameter_transfer,,"2,4",,,,1753354740.6923501,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.2008285522460938, 'mean': 0.009294046089053154, 'std': 0.18838150799274445}}",,,,5,,,,,4,parameter_transfer,,"3,0",,,,1753354740.692376,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,4,1",,,5,,,,,,aggregation,GossipAvg,,,,,1753354740.6924064,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,5,,,,,,aggregation,GossipAvg,,,,,1753354740.692423,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,5,,,,,,aggregation,GossipAvg,,,,,1753354740.6924508,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,5,,,,,,aggregation,GossipAvg,,,,,1753354740.692462,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,0",,,5,,,,,,aggregation,GossipAvg,,,,,1753354740.6924722,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,5,,3.377459859137182,,,,,5,,,,,,model_update,,,,,,1753354740.8774426,,,,,,,,,,,,"0,1,2,3,4"
0.6534,,,,,,,,,,,,,EvaluationEvent,1.072438912010193,"{'loss': 1.072438912010193, 'accuracy': 0.6534}",,,,,,,,,,,,,,,,,5,,,,,,evaluation,,,,,,1753354741.4487207,,,,,,,,,,,,
,,,,,,,,80.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.10051474093549966,6.500539064407349,5,,1,,,,resource_resource_summary,,,,6.500539064407349,,1753354741.448777,,,5,16883600,0,,,,,,,
,"0,1,2,3,4",,,,,,,,,,,,LocalTrainingEvent,,{},,,,5,,,,,,,,,,,,,6,,,,,,local_training,,,,,,1753354741.7568455,,,,,,,,,3,,,
,,0.2,,,,,0.2,,,,{1: 1.0},,SamplingEvent,,,,,,,,,1,,,,,,,,,,6,[1],,,,,resource_sampling,,,,,,1753354741.7569962,,5,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,6,,,,0,,resource_computation_time,,,,,5.336788654327393,1753354747.0936923,,,,,,,,,,,,
