timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753398135.3282256,1,992854880,0,20,20,21.46987557411194,0.004657688846626505,0.0,1.073493778705597
1753398147.1334672,2,992854880,0,20,20,11.799544334411621,0.011991988503092974,0.0,0.589977216720581
1753398159.316751,3,992854880,0,20,20,12.178187370300293,0.01721109994671002,0.0,0.6089093685150146
1753398171.1852503,4,992854880,0,20,20,11.863303899765015,0.014405767688660925,0.0,0.5931651949882507
1753398183.0289388,5,992854880,0,20,20,11.838678359985352,0.020340108302452264,0.0,0.5919339179992675
1753398194.737834,6,992854880,0,20,20,11.703620433807373,0.023317570963912515,0.0,0.5851810216903687
1753398206.8803651,7,992854880,0,20,20,12.137060403823853,0.024363395267180017,0.0,0.6068530201911926
1753398218.6411874,8,992854880,0,20,20,11.75597620010376,0.02602080803781315,0.0,0.587798810005188
1753398230.3547115,9,992854880,0,20,20,11.708422899246216,0.027134312002042,0.0,0.5854211449623108
1753398242.1787074,10,992854880,0,20,20,11.818928480148315,0.027354425618450216,0.0,0.5909464240074158
