timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753363680.686501,1,-1,training,12.076855182647705,0,0,0,
1753363687.8081448,2,-1,training,6.181823015213013,0,0,0,
1753363694.9757981,3,-1,training,6.282751083374023,0,0,0,
1753363701.857683,4,-1,training,6.001527309417725,0,0,0,
1753363709.051657,5,-1,training,6.312328577041626,0,0,0,
1753363715.9330363,6,-1,training,6.004303932189941,0,0,0,
1753363723.1819892,7,-1,training,6.382514476776123,0,0,0,
1753363730.063907,8,-1,training,6.010725975036621,0,0,0,
1753363737.2264678,9,-1,training,6.289037227630615,0,0,0,
1753363744.2425754,10,-1,training,6.138597249984741,0,0,0,
