timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753351338.0768602,1,50650800,0,10,6,24.24278998374939,0.026539849597809854,40.0,4.040464997291565
1753351357.7712834,2,50650800,0,10,6,19.343411445617676,0.03924850599049837,40.0,3.223901907602946
1753351377.4899302,3,50650800,0,10,6,19.3012056350708,0.0400803978065675,40.0,3.2168676058451333
1753351395.0626192,4,50650800,0,10,6,17.13548707962036,0.04562461495067819,40.0,2.85591451327006
1753351400.1239161,5,50650800,0,10,6,4.576728820800781,0.1727653157876312,40.0,0.7627881368001302
1753351419.8671987,6,50650800,0,10,6,19.26646637916565,0.04271151667385498,40.0,3.2110777298609414
1753351425.8458583,7,50650800,0,10,6,5.513372421264648,0.15221173827533777,40.0,0.918895403544108
1753351432.038815,8,50650800,0,10,6,5.661045789718628,0.1472696090030103,40.0,0.9435076316197714
1753351438.2916028,9,50650800,0,10,6,5.682741403579712,0.15645617790032323,40.0,0.9471235672632853
1753351444.5325596,10,50650800,0,10,6,5.6283135414123535,0.1603144518088769,40.0,0.938052256902059
