timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753389699.1237779,1,-1,training,15.285100221633911,0,0,0,
1753389715.790337,2,-1,training,15.264440774917603,0,0,0,
1753389730.5893223,3,-1,training,13.350739002227783,0,0,0,
1753389738.836957,4,-1,training,6.8756327629089355,0,0,0,
1753389746.739852,5,-1,training,6.570262432098389,0,0,0,
1753389754.6792226,6,-1,training,6.646377801895142,0,0,0,
1753389762.6571183,7,-1,training,6.69730019569397,0,0,0,
1753389770.4277077,8,-1,training,6.506630182266235,0,0,0,
1753389778.5066965,9,-1,training,6.658504247665405,0,0,0,
1753389785.8003304,10,-1,training,5.996460437774658,0,0,0,
