timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753350502.4616878,1,50650800,0,10,4,10.280383348464966,0.06405403161335663,60.0,2.5700958371162415
1753350511.3912091,2,50650800,0,10,4,8.926485776901245,0.0980453026951238,60.0,2.2316214442253113
1753350520.0281591,3,50650800,0,10,4,8.633968353271484,0.10357925387358434,60.0,2.158492088317871
1753350527.7301497,4,50650800,0,10,4,7.699033260345459,0.11837849885572582,60.0,1.9247583150863647
1753350532.1797662,5,50650800,0,10,4,4.446429967880249,0.21619591603694627,60.0,1.1116074919700623
1753350536.1029608,6,50650800,0,10,4,3.9200680255889893,0.2455824729866402,60.0,0.9800170063972473
1753350539.784466,7,50650800,0,10,4,3.678204298019409,0.2587947603977752,60.0,0.9195510745048523
1753350544.3034291,8,50650800,0,10,4,4.515674591064453,0.20949250902001001,60.0,1.1289186477661133
1753350548.7624078,9,50650800,0,10,4,4.455955505371094,0.20826060737846525,60.0,1.1139888763427734
1753350552.2012885,10,50650800,0,10,4,3.435673236846924,0.2794503242343059,60.0,0.858918309211731
