accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,7,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"7,6,8",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281468,,,,,,,,,,,,
,,,,8,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"8,7,9",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281602,,,,,,,,,,,,
,,,,9,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"9,8,0",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281719,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,10,,9.575784979691592,,,,,1,,,,,,model_update,,,,,,1753384507.4717057,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.1,,,,,,,,,,,,,EvaluationEvent,4.057405291748047,"{'loss': 4.057405291748047, 'accuracy': 0.1}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753384508.2941008,,,,,,,,,,,,
,,,,,,,,19.999999999999996,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.0036564516612721787,27.348918914794922,1,,8,,,,resource_resource_summary,,,,3.4186148643493652,,1753384508.2941732,,,10,52255520,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753384508.567283,,,,,,,,,3,,,
,,0.8,,,,,0.8,,,,"{1: 1.0, 9: 1.0, 8: 1.0, 4: 1.0, 7: 1.0, 3: 1.0, 6: 1.0, 5: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,2,"[1, 9, 8, 4, 7, 3, 6, 5]",,,,,resource_sampling,,,,,,1753384508.56748,,10,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,2,,,,0,,resource_computation_time,,,,,21.450245141983032,1753384530.0175936,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.3097877502441406, 'mean': -0.005218767561018467, 'std': 0.11248026043176651}}",,,,2,,,,,0,parameter_transfer,,"9,1",,,,1753384530.1789296,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.3511414527893066, 'mean': -0.005885278806090355, 'std': 0.11385614424943924}}",,,,2,,,,,1,parameter_transfer,,"0,2",,,,1753384530.1789985,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.3275508880615234, 'mean': -0.005058141425251961, 'std': 0.11309253424406052}}",,,,2,,,,,2,parameter_transfer,,"1,3",,,,1753384530.1790316,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.344414472579956, 'mean': -0.004769233521074057, 'std': 0.11367929726839066}}",,,,2,,,,,3,parameter_transfer,,"2,4",,,,1753384530.1791053,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.3386683464050293, 'mean': -0.004878952633589506, 'std': 0.11347896605730057}}",,,,2,,,,,4,parameter_transfer,,"3,5",,,,1753384530.1791396,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.3445653915405273, 'mean': -0.005063560791313648, 'std': 0.11367170512676239}}",,,,2,,,,,5,parameter_transfer,,"4,6",,,,1753384530.1791658,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.3215346336364746, 'mean': -0.005196916405111551, 'std': 0.11288133263587952}}",,,,2,,,,,6,parameter_transfer,,"5,7",,,,1753384530.1791902,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 3.3299167156219482, 'mean': -0.0055730608291924, 'std': 0.11314889788627625}}",,,,2,,,,,7,parameter_transfer,,"6,8",,,,1753384530.1792142,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 3.346566915512085, 'mean': -0.0060286675579845905, 'std': 0.11369279026985168}}",,,,2,,,,,8,parameter_transfer,,"7,9",,,,1753384530.1792371,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 3.329028844833374, 'mean': -0.005382725968956947, 'std': 0.11312787234783173}}",,,,2,,,,,9,parameter_transfer,,"8,0",,,,1753384530.179262,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,9,1",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1792908,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1793108,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1793249,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.179338,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,5",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1794636,,,,,,,,,,,,
,,,,5,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"5,4,6",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1794772,,,,,,,,,,,,
,,,,6,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"6,5,7",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1794896,,,,,,,,,,,,
,,,,7,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"7,6,8",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1795015,,,,,,,,,,,,
,,,,8,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"8,7,9",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.1795127,,,,,,,,,,,,
,,,,9,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"9,8,0",,,2,,,,,,aggregation,GossipAvg,,,,,1753384530.179526,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,10,,9.043699332782818,,,,,2,,,,,,model_update,,,,,,1753384530.7126915,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.1384,,,,,,,,,,,,,EvaluationEvent,3.0149914226531984,"{'loss': 3.0149914226531984, 'accuracy': 0.1384}",,,,,,,,,,,,,,,,,2,,,,,,evaluation,,,,,,1753384531.479248,,,,,,,,,,,,
,,,,,,,,19.999999999999996,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.006040483700569313,22.91207242012024,2,,8,,,,resource_resource_summary,,,,2.86400905251503,,1753384531.4793088,,,10,52255520,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,3,,,,,,local_training,,,,,,1753384531.7665,,,,,,,,,3,,,
,,0.8,,,,,0.8,,,,"{7: 1.0, 9: 1.0, 3: 1.0, 0: 1.0, 2: 1.0, 5: 1.0, 6: 1.0, 1: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,3,"[7, 9, 3, 0, 2, 5, 6, 1]",,,,,resource_sampling,,,,,,1753384531.7666867,,10,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,3,,,,0,,resource_computation_time,,,,,5.26285195350647,1753384537.0294182,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.3334548473358154, 'mean': -0.005048097111284733, 'std': 0.11329402774572372}}",,,,3,,,,,0,parameter_transfer,,"9,1",,,,1753384537.1778374,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.3388288021087646, 'mean': -0.005662519484758377, 'std': 0.11344803124666214}}",,,,3,,,,,1,parameter_transfer,,"0,2",,,,1753384537.1779,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.3341481685638428, 'mean': -0.00513433525338769, 'std': 0.11331376433372498}}",,,,3,,,,,2,parameter_transfer,,"1,3",,,,1753384537.177934,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.3580918312072754, 'mean': -0.004955395590513945, 'std': 0.11413709074258804}}",,,,3,,,,,3,parameter_transfer,,"2,4",,,,1753384537.1779656,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.3310797214508057, 'mean': -0.004933740943670273, 'std': 0.11321818828582764}}",,,,3,,,,,4,parameter_transfer,,"3,5",,,,1753384537.1779952,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.3434720039367676, 'mean': -0.005259131547063589, 'std': 0.11362557858228683}}",,,,3,,,,,5,parameter_transfer,,"4,6",,,,1753384537.1780224,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.33843994140625, 'mean': -0.005366342142224312, 'std': 0.11344919353723526}}",,,,3,,,,,6,parameter_transfer,,"5,7",,,,1753384537.1780484,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 3.3340232372283936, 'mean': -0.005761818960309029, 'std': 0.113279327750206}}",,,,3,,,,,7,parameter_transfer,,"6,8",,,,1753384537.178115,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 3.333951711654663, 'mean': -0.005851212423294783, 'std': 0.11327231675386429}}",,,,3,,,,,8,parameter_transfer,,"7,9",,,,1753384537.1781404,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 3.3311634063720703, 'mean': -0.006020024884492159, 'std': 0.11316848546266556}}",,,,3,,,,,9,parameter_transfer,,"8,0",,,,1753384537.178165,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,9,1",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.178193,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1782095,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1782236,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1783497,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,5",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.178366,,,,,,,,,,,,
,,,,5,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"5,4,6",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1783776,,,,,,,,,,,,
,,,,6,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"6,5,7",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1783888,,,,,,,,,,,,
,,,,7,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"7,6,8",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.178399,,,,,,,,,,,,
,,,,8,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"8,7,9",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1784089,,,,,,,,,,,,
,,,,9,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"9,8,0",,,3,,,,,,aggregation,GossipAvg,,,,,1753384537.1784213,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,10,,8.409804604463876,,,,,3,,,,,,model_update,,,,,,1753384537.6917362,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.1,,,,,,,,,,,,,EvaluationEvent,3.83398701171875,"{'loss': 3.83398701171875, 'accuracy': 0.1}",,,,,,,,,,,,,,,,,3,,,,,,evaluation,,,,,,1753384538.4465873,,,,,,,,,,,,
,,,,,,,,19.999999999999996,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.014969631232339284,6.680191278457642,3,,8,,,,resource_resource_summary,,,,0.8350239098072052,,1753384538.4466562,,,10,52255520,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,4,,,,,,local_training,,,,,,1753384538.7405431,,,,,,,,,3,,,
,,0.8,,,,,0.8,,,,"{0: 1.0, 4: 1.0, 3: 1.0, 9: 1.0, 7: 1.0, 1: 1.0, 5: 1.0, 2: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,4,"[0, 4, 3, 9, 7, 1, 5, 2]",,,,,resource_sampling,,,,,,1753384538.7407541,,10,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,4,,,,0,,resource_computation_time,,,,,5.501731634140015,1753384544.2423456,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.3449759483337402, 'mean': -0.005324170924723148, 'std': 0.11367377638816833}}",,,,4,,,,,0,parameter_transfer,,"9,1",,,,1753384544.393509,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.3298566341400146, 'mean': -0.005350230261683464, 'std': 0.11315761506557465}}",,,,4,,,,,1,parameter_transfer,,"0,2",,,,1753384544.3935742,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.3470914363861084, 'mean': -0.005377769470214844, 'std': 0.11374330520629883}}",,,,4,,,,,2,parameter_transfer,,"1,3",,,,1753384544.3936076,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.3450026512145996, 'mean': -0.005374920554459095, 'std': 0.11367229372262955}}",,,,4,,,,,3,parameter_transfer,,"2,4",,,,1753384544.3936374,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.331068277359009, 'mean': -0.004908592440187931, 'std': 0.11321888864040375}}",,,,4,,,,,4,parameter_transfer,,"3,5",,,,1753384544.393663,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.347417116165161, 'mean': -0.005105171352624893, 'std': 0.11376696079969406}}",,,,4,,,,,5,parameter_transfer,,"4,6",,,,1753384544.3936882,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.3293297290802, 'mean': -0.005388364661484957, 'std': 0.1131378561258316}}",,,,4,,,,,6,parameter_transfer,,"5,7",,,,1753384544.3937128,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 3.3290553092956543, 'mean': -0.0054047321900725365, 'std': 0.11312773078680038}}",,,,4,,,,,7,parameter_transfer,,"6,8",,,,1753384544.3937356,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 3.3303587436676025, 'mean': -0.005845041014254093, 'std': 0.11315023899078369}}",,,,4,,,,,8,parameter_transfer,,"7,9",,,,1753384544.39376,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 3.326761245727539, 'mean': -0.0053240167908370495, 'std': 0.11305342614650726}}",,,,4,,,,,9,parameter_transfer,,"8,0",,,,1753384544.3937857,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,9,1",,,4,,,,,,aggregation,GossipAvg,,,,,1753384544.3938155,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,4,,,,,,aggregation,GossipAvg,,,,,1753384544.3938332,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,4,,,,,,aggregation,GossipAvg,,,,,1753384544.393847,,,,,,,,,,,,
