timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753383044.1538289,1,-1,training,23.543089628219604,0,0,0,
1753383065.253934,2,-1,training,19.467095851898193,0,0,0,
1753383072.0766704,3,-1,training,5.208520412445068,0,0,0,
1753383093.74355,4,-1,training,20.085270166397095,0,0,0,
1753383107.64924,5,-1,training,12.300405979156494,0,0,0,
1753383123.3731322,6,-1,training,14.04633641242981,0,0,0,
1753383128.7548573,7,-1,training,3.8128905296325684,0,0,0,
1753383135.2825892,8,-1,training,4.908422231674194,0,0,0,
1753383140.4953804,9,-1,training,3.6029653549194336,0,0,0,
1753383145.7388682,10,-1,training,3.672654151916504,0,0,0,
