round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.340339422225952,3.340339422225952,3.340339422225952,3.340339422225952,3.3506364822387695,3.340339422225952,3.375910520553589,3.340339422225952,3.340339422225952,3.340339422225952
2,3.390293836593628,3.342998743057251,3.342998743057251,3.342998743057251,3.342998743057251,3.3476619720458984,3.342998743057251,3.342998743057251,3.342998743057251,3.342998743057251
3,3.3460891246795654,3.3755152225494385,3.3460891246795654,3.3460891246795654,3.3460891246795654,3.3460891246795654,3.3460891246795654,3.3460891246795654,3.3460891246795654,3.3398547172546387
4,3.347766399383545,3.347766399383545,3.3554091453552246,3.3336684703826904,3.347766399383545,3.347766399383545,3.347766399383545,3.347766399383545,3.347766399383545,3.347766399383545
5,3.3440799713134766,3.3440799713134766,3.3440799713134766,3.3440799713134766,3.3440799713134766,3.3440799713134766,3.34474778175354,3.3440799713134766,3.4053444862365723,3.3440799713134766
6,3.351689577102661,3.351689577102661,3.351689577102661,3.3732070922851562,3.351689577102661,3.351689577102661,3.351689577102661,3.351689577102661,3.351689577102661,3.3544986248016357
7,3.351226806640625,3.351414203643799,3.3541691303253174,3.3541691303253174,3.3541691303253174,3.3541691303253174,3.3541691303253174,3.3541691303253174,3.3541691303253174,3.3541691303253174
8,3.3574297428131104,3.3528308868408203,3.3528308868408203,3.3528308868408203,3.3516623973846436,3.3528308868408203,3.3528308868408203,3.3528308868408203,3.3528308868408203,3.3528308868408203
9,3.352548122406006,3.352548122406006,3.352548122406006,3.370758295059204,3.352548122406006,3.352548122406006,3.352548122406006,3.352548122406006,3.368980884552002,3.352548122406006
10,3.3565664291381836,3.3565664291381836,3.3565664291381836,3.3565664291381836,3.3565664291381836,3.3570213317871094,3.3565664291381836,3.3565664291381836,3.3799893856048584,3.3565664291381836
