timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753371887.3821058,1,-1,training,26.853179454803467,0,0,0,
1753371914.8528614,2,-1,training,26.17182970046997,0,0,0,
1753371923.2268262,3,-1,training,7.297879934310913,0,0,0,
1753371931.3183844,4,-1,training,7.018109560012817,0,0,0,
1753371939.6195168,5,-1,training,7.22607159614563,0,0,0,
1753371947.774575,6,-1,training,7.065456390380859,0,0,0,
1753371955.8138409,7,-1,training,6.9581139087677,0,0,0,
1753371963.9223897,8,-1,training,7.021733522415161,0,0,0,
1753371972.2065763,9,-1,training,7.176096677780151,0,0,0,
1753371980.308308,10,-1,training,6.9800591468811035,0,0,0,
