timestamp,round_num,total_communication_bytes,total_computation_time,total_clients_involved,sampled_clients_count,round_completion_time,resource_efficiency_score,communication_savings_percent,time_per_client
1753372355.9583979,1,39191640,0,5,5,16.760173559188843,0.0076252193659374756,0.0,3.3520347118377685
1753372363.791826,2,39191640,0,5,5,7.831091403961182,0.03299667781546953,0.0,1.5662182807922362
1753372371.2631655,3,39191640,0,5,5,7.468830585479736,0.0377167478597864,0.0,1.4937661170959473
1753372378.9272146,4,39191640,0,5,5,7.66154670715332,0.040762004323280615,0.0,1.532309341430664
1753372386.6133869,5,39191640,0,5,5,7.68379020690918,0.04172420008444791,0.0,1.536758041381836
1753372394.165472,6,39191640,0,5,5,7.549428462982178,0.04617568094185184,0.0,1.5098856925964355
1753372401.7451105,7,39191640,0,5,5,7.576913356781006,0.04764473117234748,0.0,1.515382671356201
1753372409.3723989,8,39191640,0,5,5,7.624877214431763,0.04974506334109762,0.0,1.5249754428863525
1753372416.8700883,9,39191640,0,5,5,7.495152950286865,0.051833498605939825,0.0,1.499030590057373
1753372424.5058303,10,39191640,0,5,5,7.633333444595337,0.05233624377864166,0.0,1.5266666889190674
