timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753372354.8571196,1,-1,training,15.658722162246704,0,0,0,
1753372362.806563,2,-1,training,6.845717906951904,0,0,0,
1753372370.2922423,3,-1,training,6.497799634933472,0,0,0,
1753372377.957053,4,-1,training,6.691282272338867,0,0,0,
1753372385.6382449,5,-1,training,6.701924800872803,0,0,0,
1753372393.2311726,6,-1,training,6.614999771118164,0,0,0,
1753372400.784346,7,-1,training,6.616053819656372,0,0,0,
1753372408.4119825,8,-1,training,6.6643571853637695,0,0,0,
1753372415.9031804,9,-1,training,6.528168201446533,0,0,0,
1753372423.5455735,10,-1,training,6.666647434234619,0,0,0,
