round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.2844088077545166,3.3527257442474365,3.285104274749756,3.3011856079101562,3.2844088077545166,3.4859659671783447,3.4125709533691406,3.287186622619629,3.641620635986328,3.2851364612579346
2,3.576855421066284,3.806889533996582,3.337766170501709,3.290452003479004,3.517240285873413,4.876926422119141,3.5624144077301025,3.547203779220581,3.5025434494018555,3.553886890411377
3,4.02803897857666,4.23425817489624,3.4627153873443604,3.620960235595703,3.6206576824188232,3.838141679763794,3.815948963165283,3.6340582370758057,4.128201484680176,3.7040164470672607
4,3.975931167602539,4.565260410308838,3.654905319213867,3.870767116546631,3.7711293697357178,4.026174068450928,3.920884132385254,3.9721171855926514,4.50145149230957,4.018834590911865
5,4.45745325088501,4.766095161437988,3.931966543197632,4.079545974731445,3.9864630699157715,3.858626127243042,4.092580795288086,4.258652687072754,4.775444984436035,4.122786521911621
6,4.7375383377075195,4.970651149749756,4.170716762542725,3.969203233718872,4.134734630584717,4.221555709838867,4.243916034698486,4.4865851402282715,4.553310871124268,4.4500041007995605
7,4.932097911834717,5.181564807891846,4.27009916305542,4.289225101470947,4.29555606842041,4.494663238525391,4.176014423370361,4.5079474449157715,4.482967376708984,4.548309803009033
8,5.1006269454956055,5.352982044219971,4.527736663818359,4.544766902923584,4.581838130950928,4.65765905380249,4.244135856628418,4.379715919494629,4.947038650512695,4.606828212738037
9,5.059660911560059,5.429815769195557,4.6994147300720215,4.739543437957764,4.751960754394531,4.71173620223999,4.5527729988098145,4.704128265380859,4.784971714019775,4.850478649139404
10,5.360730171203613,5.562124252319336,4.8761444091796875,4.94716739654541,4.911320209503174,4.606483459472656,4.789212703704834,4.661116123199463,5.193918704986572,4.902585983276367
